disease_id_child,disease_id_parent
EFO:0002461,EFO:0009676
MONDO:0018827,MONDO:0100118
EFO:0005809,EFO:0000540
MONDO:0018827,MONDO:0018782
MONDO:0004670,EFO:0005809
EFO:0005755,EFO:1001986
EFO:0005755,EFO:0002461
MONDO:0019557,MONDO:0015574
EFO:0005140,EFO:0000540
MONDO:0019751,EFO:0005755
EFO:0003834,EFO:0005140
MONDO:0004670,EFO:0005755
MONDO:0023603,EFO:0000508
MONDO:0015574,EFO:0003834
MONDO:0019557,MONDO:0019293
EFO:0003834,MONDO:0004670
EFO:1001986,OTAR:0000006
EFO:0000508,OTAR:0000018
EFO:0005809,EFO:1002003
MONDO:0023603,EFO:1001986
MONDO:0019293,EFO:0000701
MONDO:0018827,MONDO:0019557
MONDO:0100118,EFO:0000508
MONDO:0000603,EFO:0000319
MONDO:0100118,EFO:0000701
MONDO:0019293,EFO:0004264
MONDO:0019557,MONDO:0000603
MONDO:0000603,EFO:0005809
MONDO:0018782,MONDO:0019751
MONDO:0018827,MONDO:0023603
EFO:0000701,EFO:0010285
EFO:1002003,EFO:0000540
EFO:0009676,OTAR:0000006
EFO:0004264,EFO:0000319
